Player,Team,Stat,Line
Deandre Ayton,POR,Blocked Shots,1.5
Duncan Robinson,MIA,Rebs+Asts,7.5
Deni Avdija,POR,Steals,0.5
Jerami Grant,POR,Steals,1.5
Jerami Grant,POR,3-PT Made,2.5
Nikola Jovic,MIA,Assists,4.5
Deni Avdija,POR,Rebs+Asts,13.5
Deni Avdija,POR,Steals,1.5
Deandre Ayton,POR,Pts+Rebs,29.5
Deni Avdija,POR,Rebounds,8.5
Deandre Ayton,POR,Points,11.5
Deni Avdija,POR,Points,11.5
Jerami Grant,POR,Rebs+Asts,7.5
Duncan Robinson,MIA,Assists,2.5
Duncan Robinson,MIA,Assists,4.5
Deandre Ayton,POR,Rebounds,12.5
Deandre Ayton,POR,Rebounds,11.5
Anfernee Simons,POR,Points,14.5
Anfernee Simons,POR,3-PT Made,3.5
Bam Adebayo,MIA,Points,17.5
Duncan Robinson,MIA,Rebounds,1.5
Deandre Ayton,POR,Rebounds,13.5
Terry Rozier,MIA,Steals,1.5
Bam Adebayo,MIA,Assists,6.5
Anfernee Simons,POR,Blocked Shots,0.5
Anfernee Simons,POR,3-PT Made,4.5
Jimmy Butler,MIA,Steals,2.5
Anfernee Simons,POR,Assists,7.5
Jerami Grant,POR,Pts+Asts,19.5
Duncan Robinson,MIA,Pts+Rebs+Asts,24.5
Jimmy Butler,MIA,Pts+Rebs,29.5
Jerami Grant,POR,Rebounds,4.5
Jaime Jaquez Jr.,MIA,Blocked Shots,0.5
Jaime Jaquez Jr.,MIA,Steals,1.5
Jaime Jaquez Jr.,MIA,Rebs+Asts,9.5
Anfernee Simons,POR,Steals,1.5
Anfernee Simons,POR,Rebounds,4.5
Jimmy Butler,MIA,Rebounds,7.5
Bam Adebayo,MIA,Steals,2.5
Nikola Jovic,MIA,Steals,1.5
Jimmy Butler,MIA,Rebs+Asts,7.5
Jerami Grant,POR,Assists,3.5
Jaime Jaquez Jr.,MIA,Rebounds,2.5
Duncan Robinson,MIA,Points,7.5
Bam Adebayo,MIA,Assists,5.5
Nikola Jovic,MIA,Pts+Rebs,9.5
Jimmy Butler,MIA,Rebounds,6.5
Bam Adebayo,MIA,Rebounds,6.5
Nikola Jovic,MIA,Assists,3.5
Jaime Jaquez Jr.,MIA,Rebs+Asts,5.5
Nikola Jovic,MIA,3-PT Made,2.5
Bam Adebayo,MIA,Rebounds,12.5
Deni Avdija,POR,3-PT Made,2.5
Jerami Grant,POR,Blocked Shots,1.5
Deandre Ayton,POR,Pts+Rebs,19.5
Duncan Robinson,MIA,Pts+Rebs,9.5
Jimmy Butler,MIA,Points,22.5
Anfernee Simons,POR,Pts+Rebs,24.5
Nikola Jovic,MIA,Points,7.5
Jaime Jaquez Jr.,MIA,Points,13.5
Nikola Jovic,MIA,Rebounds,3.5
Anfernee Simons,POR,Points,24.5
Terry Rozier,MIA,Blocked Shots,0.5
Duncan Robinson,MIA,Points,17.5
Bam Adebayo,MIA,Points,19.5
Anfernee Simons,POR,Pts+Rebs+Asts,29.5
Jerami Grant,POR,Pts+Rebs,19.5
Anfernee Simons,POR,Assists,6.5
Anfernee Simons,POR,Assists,3.5
Jerami Grant,POR,Points,14.5
Jerami Grant,POR,Assists,2.5
Deni Avdija,POR,Assists,4.5
Deandre Ayton,POR,Pts+Rebs+Asts,29.5
Jerami Grant,POR,Points,9.5
Deandre Ayton,POR,Points,19.5
Jimmy Butler,MIA,Rebs+Asts,13.5
Duncan Robinson,MIA,Points,16.5
Nikola Jovic,MIA,Points,14.5
Anfernee Simons,POR,Turnovers,2.5
Nikola Jovic,MIA,Points,11.5
Anfernee Simons,POR,Pts+Rebs+Asts,34.5
Duncan Robinson,MIA,3-PT Made,3.5
Deandre Ayton,POR,Points,17.5
Bam Adebayo,MIA,Rebs+Asts,15.5
Jaime Jaquez Jr.,MIA,Rebs+Asts,7.5
Deandre Ayton,POR,Rebounds,7.5
Deni Avdija,POR,Points,19.5
Anfernee Simons,POR,Pts+Asts,19.5
Anfernee Simons,POR,Points,12.5
Nikola Jovic,MIA,Rebounds,2.5
Jaime Jaquez Jr.,MIA,Steals,2.5
Jaime Jaquez Jr.,MIA,Steals,0.5
Nikola Jovic,MIA,Rebs+Asts,11.5
Jaime Jaquez Jr.,MIA,Assists,1.5
Jaime Jaquez Jr.,MIA,Assists,4.5
Jaime Jaquez Jr.,MIA,Assists,3.5
Duncan Robinson,MIA,3-PT Made,1.5
Nikola Jovic,MIA,Rebounds,6.5
Jimmy Butler,MIA,Assists,3.5
Nikola Jovic,MIA,Points,6.5
Nikola Jovic,MIA,Assists,1.5
Jerami Grant,POR,Assists,1.5
Duncan Robinson,MIA,Rebs+Asts,4.5
Duncan Robinson,MIA,Steals,1.5
Jaime Jaquez Jr.,MIA,Rebounds,4.5
Duncan Robinson,MIA,Pts+Rebs+Asts,18.5
Jimmy Butler,MIA,Steals,0.5
Jimmy Butler,MIA,Blocked Shots,0.5
Jimmy Butler,MIA,Assists,5.5
Bam Adebayo,MIA,Points,11.5
Jaime Jaquez Jr.,MIA,3-PT Made,1.5
Nikola Jovic,MIA,Blocked Shots,0.5
Terry Rozier,MIA,Pts+Rebs,24.5
